HDBID,Database Item URL,Collectible URL,Image URL,Name,Sale Title,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,Estimated Value,Item Condition,Condition Notes,Grading Company,Grade,Grade Authenticity Number,More Details,Quantity,HDBC Number,Storage Location,Paused,Final Price,Put on Sale Date,Selling Format,List Name,List Id,Private Notes,Description,Date Added To Collectible,Date Purchased,Packaging Condition,Privacy,Price Paid,Acquired From
746425,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746425"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671526"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1633294/Scotty_Art_Toys_20fc2661-cef9-4b25-972b-45ee1e64d702.jpg,Scotty,,"Pop! Vinyl, Pop! Digital, Star Trek Original Series X Funko",Funko,NFT Redeemable,889698652247,2021/11/30,"Exclusive, Limited Edition","3.75""",19,55.0,Mint,,,,,,1,HDBC57671526,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746451,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746451"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671558"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1333702/Vlad_Plasmius_Vinyl_Art_Toys_e590267b-2f86-406b-8a78-1ea125259ad8.png,Vlad Plasmius,,"Pop! Vinyl, Pop! Digital, Nickelodeon Cartoons X Funko Series 1",Funko,NFT Redeemable,889698665445,2022/2/1,"Exclusive, Limited Edition","3.75""",27,155.0,Mint,,,,,,1,HDBC57671558,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746438,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746438"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671541"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1703037/Tommy_Art_Toys_5cd1c266-6f63-4631-8f54-7b86f808b902(2).png,Tommy,,"Pop! Vinyl, Pop! Digital",Funko,NFT Redeemable,889698665421,2022/2/1,"Exclusive, Limited Edition","3.75""",28,100.0,Mint,,,,,,1,HDBC57671541,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760295,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760295"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671610"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091195/Flash_Gordon_Vinyl_Art_Toys_18ef9891-b89a-4eac-a417-42c965c8f21b.png,Flash Gordon,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665506,2022/1/18,"Exclusive, Limited Edition","3.75""",33,65.0,Mint,,,,,,1,HDBC57671610,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746461,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746461"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671575"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1333698/Ember_McLain_Vinyl_Art_Toys_4354af6d-fdb9-41dd-beb2-3fc3fdaf07f7.png,Ember McLain,,"Pop! Vinyl, Pop! Digital, Nickelodeon Cartoons X Funko Series 1",Funko,NFT Redeemable,889698665438,2022/2/1,"Exclusive, Limited Edition","3.75""",25,210.0,Mint,,,,,,1,HDBC57671575,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
748788,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/748788"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671583"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1181194/Freddy_Funko_as_Skeleton_Vinyl_Art_Toys_059a6f63-2c3e-4681-b64d-2ff4ab053268.jpg,Freddy Funko As Skeleton,,"Pop! Vinyl, Pop! Digital, Funko Halloween Series 2021",Funko,NFT Redeemable,889698647922,2021/10/29,"Exclusive, Limited Edition","3.75""",13,180.0,Mint,,,,,,1,HDBC57671583,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
748787,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/748787"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671581"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3791452/Freddy_Funko_As_Devil_Art_Toys_cf710d0c-2bf0-4492-8f9e-816ae059d88c(2).png,Freddy Funko As Devil,,"Pop! Vinyl, Pop! Digital, Funko Halloween Series 2021",Funko,NFT Redeemable,889698647915,2021/10/29,"Exclusive, Limited Edition","3.75""",12,230.0,Mint,,,,,,1,HDBC57671581,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746331,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746331"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671515"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1680131/Big_Boy_Burger_Art_Toys_0649005d-4ff2-41a5-9bc8-3bdd946c7fe9.jpg,Big Boy Burger,,"Pop! Vinyl, Pop! Digital, Big Boy x Funko Series 1",Funko,"Big Boy Restaurants, NFT Redeemable",889698637459,2021/8/31,"Exclusive, Limited Edition","3.75""",07,85.0,Mint,,,,,,1,HDBC57671515,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
739574,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/739574"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671509"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1059683/Bob_Ross_in_paint_can_%2528Splatter%2529_Vinyl_Art_Toys_ba8f700a-1e03-4e19-9f75-9ff79c435cdd.png,Bob Ross,,"Pop! Vinyl, Pop! Digital, Bob Ross X Funko Series 1",Funko,NFT Redeemable,889698637831,2021/12/21,"Exclusive, Limited Edition","3.75""",22,70.0,Mint,,,,,,1,HDBC57671509,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
739575,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/739575"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671511"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1059684/Bob_Ross_Palette_%2528Splatter%2529_Vinyl_Art_Toys_97a3ca3a-14ec-4f22-a671-db61dfa0ad4c.png,Bob Ross,,"Pop! Vinyl, Pop! Digital, Bob Ross X Funko Series 1",Funko,NFT Redeemable,889698637848,2021/12/21,"Exclusive, Limited Edition","3.75""",23,60.0,Mint,,,,,,1,HDBC57671511,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
739546,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/739546"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671508"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1059682/Bob_Ross_in_paint_can_Vinyl_Art_Toys_89386775-1f6d-4033-b536-02aaa7e30616.png,Bob Ross,,"Pop! Vinyl, Pop! Digital, Bob Ross X Funko Series 1",Funko,NFT Redeemable,889698637817,2021/12/21,"Exclusive, Limited Edition","3.75""",20,110.0,Mint,,,,,,1,HDBC57671508,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746418,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746418"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671519"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1253832/Freddy_Funko_Vinyl_Art_Toys_c7e359a8-c1f4-4d34-b149-cf8fa076a306.jpeg,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Star Trek Original Series X Funko",Funko,NFT Redeemable,889698652261,2021/11/30,"Exclusive, Limited Edition","3.75""",15,95.0,Mint,,,,,,1,HDBC57671519,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
